"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"11/25/2024","11/25/2024","11/26/2024","NVDA","NVDA 12/27/2024 Put $130.00","STO","1","$3.15","$314.95"
"11/22/2024","11/22/2024","11/25/2024","TSLA","TSLA 12/20/2024 Put $320.00","STO","1","$9.50","$949.93"
"11/22/2024","11/22/2024","11/25/2024","TSLA","TSLA 12/6/2024 Put $275.00","BTC","1","$0.66","($66.03)"
"11/22/2024","11/22/2024","11/25/2024","NVDA","NVDA 11/29/2024 Put $125.00","BTC","1","$0.11","($11.03)"
"11/22/2024","11/22/2024","11/25/2024","AMZN","AMZN 11/22/2024 Call $200.00","BTC","1","$0.01","($1.03)"
"11/22/2024","11/22/2024","11/25/2024","AMZN","AMZN 11/22/2024 Call $200.00","BTC","1","$0.01","($1.03)"
"11/21/2024","11/21/2024","11/22/2024","NVDA","NVDA 12/27/2024 Put $139.00","STO","2","$4.05","$809.90"
"11/21/2024","11/21/2024","11/22/2024","NVDA","NVDA 11/29/2024 Call $160.00","BTC","1","$0.33","($33.03)"
"11/21/2024","11/21/2024","11/22/2024","NVDA","NVDA 11/22/2024 Put $126.00","BTC","1","$0.03","($3.03)"
"11/21/2024","11/21/2024","11/22/2024","NVDA","NVDA 11/22/2024 Call $135.00","BTC","3","$8.75","($2,625.09)"
"11/21/2024","11/21/2024","11/22/2024","NVDA","NVDA 12/27/2024 Call $142.00","STO","3","$9.06","$2,717.82"
"11/19/2024","11/19/2024","11/20/2024","","ACH Deposit","ACH","","","$10,000.00"
"11/18/2024","11/18/2024","11/19/2024","NVDA","NVDA 12/20/2024 Put $132.00","STO","1","$5.05","$504.94"
"11/18/2024","11/18/2024","11/18/2024","","Wire deposit","ICWIRE","","","$13,000.00"
"11/18/2024","11/18/2024","11/19/2024","COST","Costco
CUSIP: 22160K105
Dividend Reinvestment","Buy","0.02639","$923.05","($24.36)"
"11/15/2024","11/15/2024","11/15/2024","COST","Cash Div: R/D 2024-11-01 P/D 2024-11-15 - 21 shares at 1.16","CDIV","","","$24.36"
"11/15/2024","11/15/2024","11/18/2024","DFS","DFS 11/15/2024 Call $148.00","BTC","1","$27.87","($2,787.03)"
"11/15/2024","11/15/2024","11/18/2024","DFS","DFS 3/21/2025 Call $145.00","STO","1","$35.92","$3,591.86"
"11/15/2024","11/15/2024","11/18/2024","AAPL","Apple
CUSIP: 037833100
Dividend Reinvestment","Buy","0.222875","$224.61","($50.06)"
"11/14/2024","11/14/2024","11/14/2024","AAPL","Cash Div: R/D 2024-11-11 P/D 2024-11-14 - 200.239388 shares at 0.25","CDIV","","","$50.06"
"11/14/2024","11/14/2024","11/14/2024","META","Meta Platforms
CUSIP: 30303M102","ACATI","42","",""
"11/14/2024","11/14/2024","11/14/2024","","ACAT IN control_num = 20243160065729, firm_id = 0164, acct_num = 10979563","ACATI","","","$598.77"
"11/13/2024","11/13/2024","11/14/2024","SMCI","Super Micro Computer
CUSIP: 86800U302","Sell","500","$19.13","$9,564.65"
"11/12/2024","11/12/2024","11/13/2024","NFLX","NFLX 11/15/2024 Call $760.00","BTC","1","$51.12","($5,112.03)"
"11/12/2024","11/12/2024","11/13/2024","NFLX","NFLX 12/13/2024 Call $765.00","STO","1","$54.41","$5,440.80"
"11/12/2024","11/12/2024","11/13/2024","NVDA","NVDA 12/6/2024 Call $138.00","STO","1","$14.91","$1,490.91"
"11/12/2024","11/12/2024","11/13/2024","NVDA","NVDA 11/15/2024 Call $134.00","BTC","1","$14.64","($1,464.03)"
"11/12/2024","11/12/2024","11/13/2024","NVDA","NVDA 11/15/2024 Call $134.00","BTC","1","$14.62","($1,462.03)"
"11/12/2024","11/12/2024","11/13/2024","NVDA","NVDA 12/6/2024 Call $138.00","STO","1","$14.91","$1,490.91"
"11/12/2024","11/12/2024","11/13/2024","NVDA","NVDA 11/15/2024 Call $134.00","BTC","1","$14.64","($1,464.03)"
"11/12/2024","11/12/2024","11/13/2024","NVDA","NVDA 12/6/2024 Call $138.00","STO","1","$14.89","$1,488.91"
"11/11/2024","11/11/2024","11/12/2024","META","META 12/13/2024 Put $560.00","STO","1","$8.20","$819.93"
"11/8/2024","11/8/2024","11/12/2024","TSLA","TSLA 12/6/2024 Put $275.00","STO","1","$5.00","$499.94"
"11/7/2024","11/7/2024","11/8/2024","SMCI","SMCI 11/8/2024 Put $44.00","BTC","1","$18.92","($1,892.03)"
"11/7/2024","11/7/2024","11/8/2024","SMCI","SMCI 12/6/2024 Put $47.00","STO","1","$21.78","$2,177.89"
"11/7/2024","11/7/2024","11/7/2024","SMCI","Stock Lending","SLIP","","","$0.01"
"11/5/2024","11/5/2024","11/6/2024","AMZN","Amazon
CUSIP: 023135106","Sell","11","$197.00","$2,166.93"
"11/4/2024","11/4/2024","11/5/2024","AMZN","AMZN 11/8/2024 Put $175.00","BTC","1","$0.10","($10.03)"
"11/4/2024","11/4/2024","11/5/2024","AAPL","AAPL 11/15/2024 Call $245.00","BTC","1","$0.09","($9.03)"
"11/1/2024","11/1/2024","11/4/2024","TSLA","TSLA 6/20/2025 Call $270.00","STO","1","$36.50","$3,649.85"
"11/1/2024","11/1/2024","11/4/2024","TSLA","TSLA 9/19/2025 Call $325.00","BTC","1","$29.00","($2,900.03)"
"11/1/2024","11/1/2024","11/4/2024","NVDA","NVDA 11/29/2024 Call $160.00","STO","1","$1.94","$193.95"
"10/31/2024","10/31/2024","11/1/2024","NVDA","NVIDIA
CUSIP: 67066G104","Buy","19","$133.00","($2,527.00)"
"10/31/2024","10/31/2024","11/1/2024","DFS","Discover Financial Services
CUSIP: 254709108","Sell","1","$150.46","$150.46"
"10/31/2024","10/31/2024","11/1/2024","NVDA","NVDA 11/29/2024 Put $125.00","STO","1","$5.30","$529.94"
"10/31/2024","10/31/2024","11/1/2024","SMCI","SMCI 12/20/2024 Call $60.00","BTC","2","$0.40","($80.06)"
"10/31/2024","10/31/2024","10/31/2024","","Wire deposit","ICWIRE","","","$80,000.00"
"10/30/2024","10/30/2024","10/31/2024","SMCI","SMCI 11/8/2024 Call $54.50","BTC","1","$0.10","($10.03)"
"10/30/2024","10/30/2024","10/31/2024","SMCI","SMCI 11/22/2024 Call $57.00","BTC","1","$0.30","($30.03)"
"10/30/2024","10/30/2024","10/31/2024","SMCI","SMCI 11/22/2024 Call $57.00","BTC","1","$0.30","($30.03)"
"10/30/2024","10/30/2024","10/31/2024","SMCI","SMCI 11/15/2024 Call $55.00","BTC","1","$0.20","($20.03)"
"10/30/2024","10/30/2024","10/31/2024","SMCI","SMCI 11/15/2024 Call $55.00","BTC","1","$0.20","($20.03)"
"10/30/2024","10/30/2024","10/31/2024","SMCI","SMCI 11/8/2024 Call $54.50","BTC","1","$0.15","($15.03)"
"10/25/2024","10/25/2024","10/28/2024","SMCI","SMCI 11/8/2024 Put $44.00","STO","1","$2.10","$209.95"
"10/24/2024","10/24/2024","10/25/2024","AMZN","AMZN 11/22/2024 Call $200.00","STO","1","$3.60","$359.94"
"10/24/2024","10/24/2024","10/25/2024","NVDA","NVDA 11/22/2024 Put $126.00","STO","1","$4.15","$414.94"
"10/24/2024","10/24/2024","10/25/2024","DFS","DFS 11/15/2024 Call $148.00","STO","1","$6.80","$679.94"
"10/24/2024","10/24/2024","10/25/2024","AMZN","AMZN 11/22/2024 Call $200.00","STO","1","$3.30","$329.95"
"10/24/2024","10/24/2024","10/25/2024","AMZN","Amazon
CUSIP: 023135106","Buy","11","$184.00","($2,024.00)"
"10/23/2024","10/23/2024","10/25/2024","","ACH Deposit","ACH","","","$10,000.00"
"10/23/2024","10/23/2024","10/24/2024","AMZN","Amazon
CUSIP: 023135106","Buy","11","$185.21","($2,037.31)"
"10/23/2024","10/23/2024","10/24/2024","NVDA","NVDA 11/15/2024 Call $134.00","STO","3","$10.09","$3,026.81"
"10/23/2024","10/23/2024","10/24/2024","NVDA","NVDA 10/25/2024 Call $132.00","BTC","3","$7.34","($2,202.09)"
"10/23/2024","10/23/2024","10/24/2024","NVDA","NVDA 11/22/2024 Call $135.00","STO","3","$12.20","$3,659.79"
"10/23/2024","10/23/2024","10/24/2024","NVDA","NVDA 10/25/2024 Call $129.00","BTC","3","$10.00","($3,000.09)"
"10/23/2024","10/23/2024","10/23/2024","","ACAT In Bonus Interest Payment","ABIP","","","$145.45"
"10/23/2024","10/23/2024","10/23/2024","DFS","Discover Financial Services
CUSIP: 254709108","ACATI","100","",""
"10/18/2024","10/18/2024","10/21/2024","NFLX","NFLX 11/15/2024 Call $760.00","STO","1","$26.60","$2,659.88"
"10/18/2024","10/18/2024","10/21/2024","NFLX","NFLX 10/18/2024 Call $755.00","BTC","1","$10.10","($1,010.03)"
"10/10/2024","10/10/2024","10/11/2024","AMZN","AMZN 10/18/2024 Call $195.00","BTC","1","$0.42","($42.03)"
"10/10/2024","10/10/2024","10/11/2024","AMZN","AMZN 11/8/2024 Put $175.00","STO","1","$3.35","$334.95"
"10/10/2024","10/10/2024","10/11/2024","SMCI","SMCI 11/15/2024 Call $55.00","STO","1","$2.40","$239.95"
"10/10/2024","10/10/2024","10/11/2024","SMCI","SMCI 11/15/2024 Call $55.00","STO","1","$2.40","$239.95"
"10/10/2024","10/10/2024","10/11/2024","SMCI","SMCI 11/8/2024 Call $54.50","STO","2","$2.15","$429.91"
"10/10/2024","10/10/2024","10/11/2024","SMCI","SMCI 11/22/2024 Call $57.00","STO","2","$2.30","$459.91"
"10/10/2024","10/10/2024","10/11/2024","SMCI","SMCI 12/20/2024 Call $60.00","STO","2","$2.55","$509.91"
"10/7/2024","10/7/2024","10/7/2024","QQQ","Stock Lending","SLIP","","","$0.01"
"10/7/2024","10/7/2024","10/7/2024","SMCI","Stock Lending","SLIP","","","$0.01"
"10/7/2024","10/7/2024","10/8/2024","AAPL","Apple
CUSIP: 037833100","Sell","26","$226.01","$5,876.09"
"10/7/2024","10/7/2024","10/8/2024","NFLX","Netflix
CUSIP: 64110L106","Sell","1","$719.79","$719.76"
"10/7/2024","10/7/2024","10/8/2024","NFLX","Netflix
CUSIP: 64110L106","Sell","3","$718.64","$2,155.86"
"10/7/2024","10/7/2024","10/8/2024","NFLX","Netflix
CUSIP: 64110L106","Sell","6","$720.90","$4,325.27"
"10/4/2024","10/4/2024","10/7/2024","SMCI","Option Expiration for SMCI 10/4/2024 Call $46.00","OEXP","10","",""
"10/4/2024","10/4/2024","10/7/2024","NVDA","NVIDIA
CUSIP: 67066G104
Dividend Reinvestment","Buy","0.054272","$122.72","($6.66)"
"10/3/2024","10/3/2024","10/3/2024","NVDA","Cash Div: R/D 2024-09-12 P/D 2024-10-03 - 666 shares at 0.01","CDIV","","","$6.66"
"10/1/2024","10/1/2024","10/1/2024","SMCI","Super Micro Computer
CUSIP: 86800U302","MRGS","1000","",""
"10/1/2024","10/1/2024","10/1/2024","SMCI","Super Micro Computer
CUSIP: 86800U104","MRGS","100S","",""
"10/1/2024","10/1/2024","10/1/2024","SMCI","SMCI 10/4/2024 Call $460.00","OCA","1","",""
"10/1/2024","10/1/2024","10/1/2024","SMCI","SMCI 10/4/2024 Call $46.00","OCA","10S","",""
"9/30/2024","9/30/2024","10/1/2024","SMCI","SMCI 10/4/2024 Call $460.00","STO","1","$7.50","$749.93"
"9/27/2024","9/27/2024","9/30/2024","SMCI","Option Expiration for SMCI 9/27/2024 Call $495.00","OEXP","1","",""
"9/24/2024","9/24/2024","9/25/2024","TSLA","TSLA 9/19/2025 Call $325.00","STO","1","$35.65","$3,564.86"
"9/24/2024","9/24/2024","9/25/2024","TSLA","TSLA 11/15/2024 Call $250.00","BTC","1","$25.35","($2,535.03)"
"9/23/2024","9/23/2024","9/24/2024","NFLX","NFLX 10/18/2024 Call $755.00","STO","1","$15.00","$1,499.91"
"9/23/2024","9/23/2024","9/24/2024","SMCI","SMCI 9/27/2024 Call $495.00","STO","1","$6.80","$679.94"
"9/20/2024","9/20/2024","9/23/2024","NFLX","Option Expiration for NFLX 9/20/2024 Call $720.00","OEXP","1","",""
"9/19/2024","9/19/2024","9/20/2024","SMCI","Super Micro Computer
CUSIP: 86800U104","Buy","20","$437.00","($8,740.00)"
"9/19/2024","9/19/2024","9/20/2024","NVDA","NVDA 10/25/2024 Call $132.00","STO","3","$2.55","$764.87"
"9/19/2024","9/19/2024","9/20/2024","AAPL","AAPL 9/20/2024 Call $240.00","BTC","1","$0.03","($3.03)"
"9/19/2024","9/19/2024","9/20/2024","NVDA","NVDA 10/25/2024 Call $129.00","STO","3","$3.15","$944.87"
"9/19/2024","9/19/2024","9/20/2024","AMZN","AMZN 10/18/2024 Call $195.00","STO","1","$3.35","$334.95"
"9/19/2024","9/19/2024","9/20/2024","AMZN","AMZN 9/20/2024 Call $190.00","BTC","1","$1.37","($137.03)"
"9/18/2024","9/18/2024","9/19/2024","NVDA","NVIDIA
CUSIP: 67066G104","Buy","15","$115.00","($1,725.00)"
"9/18/2024","9/18/2024","9/19/2024","SMCI","Super Micro Computer
CUSIP: 86800U104","Buy","3","$441.00","($1,323.00)"
"9/18/2024","9/18/2024","9/19/2024","SMCI","Super Micro Computer
CUSIP: 86800U104","Buy","1","$441.00","($441.00)"
"9/18/2024","9/18/2024","9/19/2024","SMCI","Super Micro Computer
CUSIP: 86800U104","Buy","9","$441.00","($3,969.00)"
"9/18/2024","9/18/2024","9/19/2024","SMCI","Super Micro Computer
CUSIP: 86800U104","Buy","6","$440.90","($2,645.40)"
"9/18/2024","9/18/2024","9/19/2024","SMCI","Super Micro Computer
CUSIP: 86800U104","Buy","1","$441.00","($441.00)"
"9/16/2024","9/16/2024","9/16/2024","GOOGL","Cash Div: R/D 2024-09-09 P/D 2024-09-16 - 15 shares at 0.2","CDIV","","","$3.00"
"9/16/2024","9/16/2024","9/17/2024","C","Citigroup
CUSIP: 172967424","Sell","0.897148","$58.24","$52.25"
"9/16/2024","9/16/2024","9/17/2024","GOOGL","Alphabet Class A
CUSIP: 02079K305","Sell","15","$157.23","$2,358.38"
"9/16/2024","9/16/2024","9/17/2024","QQQ","Invesco QQQ
CUSIP: 46090E103","Sell","28","$475.15","$13,303.83"
"9/6/2024","9/6/2024","9/9/2024","QQQ","Invesco QQQ
CUSIP: 46090E103","Buy","10","$447.10","($4,471.00)"
"9/6/2024","9/6/2024","9/9/2024","SMCI","Super Micro Computer
CUSIP: 86800U104","Buy","20","$384.69","($7,693.80)"
"9/6/2024","9/6/2024","9/9/2024","NVDA","NVIDIA
CUSIP: 67066G104","Buy","14","$103.16","($1,444.24)"
"9/6/2024","9/6/2024","9/9/2024","NVDA","NVIDIA
CUSIP: 67066G104","Buy","23","$104.00","($2,392.00)"
"9/5/2024","9/5/2024","9/5/2024","TSLA","Tesla
CUSIP: 88160R101","ACATI","45","",""
"9/5/2024","9/5/2024","9/5/2024","SMCI","Super Micro Computer
CUSIP: 86800U104","ACATI","9","",""
"9/5/2024","9/5/2024","9/5/2024","NVDA","NVIDIA
CUSIP: 67066G104","ACATI","337","",""
"9/5/2024","9/5/2024","9/5/2024","COST","Costco
CUSIP: 22160K105","ACATI","5","",""
"9/5/2024","9/5/2024","9/5/2024","AMZN","Amazon
CUSIP: 023135106","ACATI","68","",""
"9/5/2024","9/5/2024","9/5/2024","DFS","Discover Financial Services
CUSIP: 254709108","ACATI","1","",""
"9/5/2024","9/5/2024","9/5/2024","","ACAT IN control_num = 20242470045422, firm_id = 0015, acct_num = 354814765","ACATI","","","$12,758.05"
"9/5/2024","9/5/2024","9/5/2024","","ACAT IN control_num = 20242430038179, firm_id = 0164, acct_num = 10979563","ACATI","","","$190.74"
"9/3/2024","9/3/2024","9/4/2024","AMZN","Amazon
CUSIP: 023135106","Buy","5","$176.00","($880.00)"
"9/3/2024","9/3/2024","9/4/2024","NFLX","Netflix
CUSIP: 64110L106","Buy","4","$675.00","($2,700.00)"
"9/3/2024","9/3/2024","9/4/2024","TSLA","Tesla
CUSIP: 88160R101","Buy","2","$211.00","($422.00)"
"9/3/2024","9/3/2024","9/4/2024","TSLA","Tesla
CUSIP: 88160R101","Buy","4","$211.00","($844.00)"
"9/3/2024","9/3/2024","9/4/2024","NVDA","NVIDIA
CUSIP: 67066G104","Buy","47","$108.40","($5,094.80)"
"9/3/2024","9/3/2024","9/4/2024","COST","Costco
CUSIP: 22160K105","Buy","4","$881.00","($3,524.00)"
"9/3/2024","9/3/2024","9/4/2024","SMCI","Super Micro Computer
CUSIP: 86800U104","Buy","7","$444.60","($3,112.20)"
"9/3/2024","9/3/2024","9/4/2024","AAPL","Apple
CUSIP: 037833100","Buy","11","$222.40","($2,446.39)"
"9/3/2024","9/3/2024","9/4/2024","QQQ","Invesco QQQ
CUSIP: 46090E103","Buy","6","$462.64","($2,775.81)"
"9/3/2024","9/3/2024","9/3/2024","","Wire deposit","ICWIRE","","","$10,000.00"
"9/3/2024","9/3/2024","9/4/2024","SMCI","Super Micro Computer
CUSIP: 86800U104","Buy","3","$436.00","($1,308.00)"
"9/3/2024","9/3/2024","9/4/2024","SMCI","Super Micro Computer
CUSIP: 86800U104","Buy","4","$436.00","($1,744.00)"
"8/30/2024","8/30/2024","9/3/2024","NVDA","Option Expiration for NVDA 8/30/2024 Put $117.00","OEXP","1","",""
"8/30/2024","8/30/2024","9/3/2024","NVDA","NVDA 9/6/2024 Call $145.00","BTC","1","$0.04","($4.03)"
"8/30/2024","8/30/2024","9/3/2024","C","Citigroup
CUSIP: 172967424","Sell","99","$62.00","$6,137.80"
"8/30/2024","8/30/2024","9/3/2024","C","Citigroup
CUSIP: 172967424","Sell","1","$62.00","$62.00"
"8/30/2024","8/30/2024","9/3/2024","SMCI","Super Micro Computer
CUSIP: 86800U104","Buy","17","$453.80","($7,714.60)"
"8/30/2024","8/30/2024","9/3/2024","QQQ","Invesco QQQ
CUSIP: 46090E103","Buy","12","$471.15","($5,653.80)"
"8/28/2024","8/28/2024","8/28/2024","","Wire deposit","ICWIRE","","","$5,000.00"
"8/28/2024","8/28/2024","8/28/2024","","Wire deposit","ICWIRE","","","$5,000.00"
"8/28/2024","8/28/2024","8/29/2024","COST","Costco
CUSIP: 22160K105","Buy","12","$892.51","($10,710.12)"
"8/27/2024","8/27/2024","8/28/2024","AAPL","AAPL 11/15/2024 Call $245.00","STO","1","$4.41","$440.94"
"8/26/2024","8/26/2024","8/27/2024","C","Citigroup
CUSIP: 172967424
Dividend Reinvestment","Buy","0.897148","$62.42","($56.00)"
"8/23/2024","8/23/2024","8/23/2024","C","Cash Div: R/D 2024-08-05 P/D 2024-08-23 - 100 shares at 0.56","CDIV","","","$56.00"
"8/22/2024","8/22/2024","8/23/2024","NFLX","NFLX 9/20/2024 Call $720.00","STO","1","$9.10","$909.93"
"8/22/2024","8/22/2024","8/23/2024","AMZN","AMZN 9/20/2024 Call $190.00","STO","1","$1.84","$183.95"
"8/22/2024","8/22/2024","8/23/2024","NVDA","NVDA 9/6/2024 Call $145.00","STO","1","$2.99","$298.95"
"8/22/2024","8/22/2024","8/23/2024","AAPL","AAPL 9/20/2024 Call $240.00","STO","1","$1.30","$129.95"
"8/16/2024","8/16/2024","8/19/2024","NVDA","NVDA 8/30/2024 Put $117.00","STO","1","$3.95","$394.94"
"8/16/2024","8/16/2024","8/19/2024","TSLA","TSLA 8/16/2024 Call $207.50","BTC","1","$8.75","($875.03)"
"8/16/2024","8/16/2024","8/19/2024","TSLA","TSLA 11/15/2024 Call $250.00","STO","1","$13.63","$1,362.92"
"8/16/2024","8/16/2024","8/19/2024","AAPL","Apple
CUSIP: 037833100
Dividend Reinvestment","Buy","0.239388","$224.53","($53.75)"
"8/15/2024","8/15/2024","8/15/2024","AAPL","Cash Div: R/D 2024-08-12 P/D 2024-08-15 - 215 shares at 0.25","CDIV","","","$53.75"
"8/15/2024","8/15/2024","8/16/2024","NVDA","NVDA 8/16/2024 Put $103.00","BTC","1","$0.03","($3.03)"
"8/7/2024","8/7/2024","8/8/2024","NFLX","NFLX 8/9/2024 Call $660.00","BTC","1","$0.07","($7.03)"
"8/7/2024","8/7/2024","8/8/2024","NVDA","NVIDIA
CUSIP: 67066G104","Buy","25","$99.66","($2,491.63)"
"8/5/2024","8/5/2024","8/6/2024","TSLA","TSLA 8/16/2024 Call $207.50","STO","1","$6.02","$601.94"
"8/5/2024","8/5/2024","8/6/2024","TSLA","TSLA 8/30/2024 Call $240.00","BTC","1","$2.09","($209.03)"
"8/5/2024","8/5/2024","8/6/2024","AAPL","Apple
CUSIP: 037833100","Buy","15","$211.00","($3,165.00)"
"8/2/2024","8/2/2024","8/5/2024","GOOGL","Alphabet Class A
CUSIP: 02079K305","Buy","15","$166.64","($2,499.55)"
"8/2/2024","8/2/2024","8/5/2024","TSLA","Tesla
CUSIP: 88160R101","Buy","4","$208.04","($832.14)"
"8/2/2024","8/2/2024","8/5/2024","AMZN","Amazon
CUSIP: 023135106","Buy","16","$167.87","($2,685.95)"
"8/2/2024","8/2/2024","8/2/2024","","Wire deposit","ICWIRE","","","$10,000.00"
"8/1/2024","8/1/2024","8/2/2024","NVDA","NVDA 8/16/2024 Put $103.00","STO","1","$3.46","$345.95"
"8/1/2024","8/1/2024","8/2/2024","TSLA","TSLA 8/30/2024 Call $240.00","STO","1","$4.65","$464.94"
"7/30/2024","7/30/2024","7/31/2024","","ACH Deposit","ACH","","","$10,000.00"
"7/25/2024","7/25/2024","7/26/2024","AAPL","AAPL 11/15/2024 Call $250.00","BTC","1","$3.75","($375.03)"
"7/25/2024","7/25/2024","7/26/2024","TSLA","TSLA 7/26/2024 Call $245.00","BTC","1","$0.09","($9.03)"
"7/19/2024","7/19/2024","7/22/2024","NFLX","NFLX 8/9/2024 Call $660.00","STO","1","$8.35","$834.93"
"7/19/2024","7/19/2024","7/22/2024","AAPL","AAPL 7/19/2024 Call $222.50","BTC","1","$1.70","($170.03)"
