Symbol,Name,Sector,Industry,,,,,,,$
ABEO,Abeona Therapeutics,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
ABEV,Ambev SA American Depositary Shares (Each representing 1 Common Share),Consumer Non-Durables,Beverages (Production/Distribution),,,,,,,
ABG,Asbury Automotive Group,Consumer Services,Other Specialty Stores,,,,,,,
ABGI,ABG Acquisition Corp I Class A Ordinary Shares,Finance,Business Services,,,,,,,
ABIO,ARCA biopharma,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,,,,,,,
ABM,ABM Industriesorporated,Technology,Diversified Commercial Services,,,,,,,
ABMD,ABIOMED,Health Care,Medical/Dental Instruments,,,,,,,
ABNB,Airbnb Class A,Transportation,Other Consumer Services,,,,,,,
ABOS,Acumen Pharmaceuticals,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
ABR,Arbor Realty Trust,Consumer Services,Real Estate Investment Trusts,,,,,,,
ABSI,Absci Corporation,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
ABST,Absolute Software Corporation, Acquisition, Acquisition,,,,,,,
ABT,Abbott Laboratories,Health Care,Medical/Dental Instruments,,,,,,,
ABTX,Allegiance Bancshares,Finance,Major Banks,,,,,,,
ABUS,Arbutus Biopharma Corporation, Acquisition, Acquisition,,,,,,,
ABVC,ABVC BioPharma,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
AC,Associated Capital Group,Finance,Investment Bankers/Brokers/Service,,,,,,,
ACA,Arcosa ,Capital Goods,Engineering & Construction,,,,,,,
ACABU,Atlantic Coastal Acquisition Corp II Unit, Acquisition, Acquisition,,,,,,,
ACAD,ACADIA Pharmaceuticals,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
ACAH,Atlantic Coastal Acquisition Corp Class A, Acquisition, Acquisition,,,,,,,
ACAHU,Atlantic Coastal Acquisition Corp Unit, Acquisition, Acquisition,,,,,,,
ACAQ,Athena Consumer Acquisition Corp Class A, Acquisition, Acquisition,,,,,,,
ACB,Aurora Cannabis Common Shares, Acquisition, Acquisition,,,,,,,
ACBA,Ace Global Business Acquisition Limited Ordinary Shares,Finance,Business Services,,,,,,,
ACC,American Campus Communities,Consumer Services,Real Estate Investment Trusts,,,,,,,
ACCD,Accolade, Acquisition, Acquisition,,,,,,,
ACCO,Acco Brands Corporation,Consumer Services,Advertising,,,,,,,
ACDI,Ascendant Digital Acquisition Corp III Class A Ordinary Shares, Acquisition, Acquisition,,,,,,,
ACEL,Accel Entertainment ,Consumer Services,Recreational Products/Toys,,,,,,,
ACER,Acer Therapeutics (DE),Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,,,
ACET,Adicet Bio ,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
ACEV,ACE Convergence Acquisition Corp Class A Ordinary Shares,Technology,Semiconductors,,,,,,,
ACEVU,ACE Convergence Acquisition Corp Unit,Technology,Semiconductors,,,,,,,
ACGL,Arch Capital Group Ltd,Finance,Property-Casualty Insurers,,,,,,,
ACGLN,Arch Capital Group Ltd Depositary Shares each Representing a 1/1000th Interest in a 4550% Non-Cumulative Preferred Share Series G,Finance,Property-Casualty Insurers,,,,,,,
ACGLO,Arch Capital Group Ltd Depositary Shares Each Representing 1/1000th Interest in a Share of 545% Non-Cumulative Preferred Shares Series F,Finance,Property-Casualty Insurers,,,,,,,
ACH,Aluminum Corporation of China Limited American Depositary Shares,Basic Industries,Aluminum,,,,,,,
ACHC,Acadia Healthcare Company,Health Care,Hospital/Nursing Management,,,,,,,
ACHL,Achilles Therapeutics plc American Depositary Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,,,
ACHR,Archer Aviation Class A,Capital Goods,Aerospace,,,,,,,
ACHV,Achieve Life Sciences Common Shares,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,,,,,,,
ACI,Albertsons Companies Class A,Consumer Services,Food Chains,,,,,,,
ACII,Atlas Crest Investment Corp II Class A, Acquisition, Acquisition,,,,,,,
ACIU,AC Immune SA,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
ACIW,ACI Worldwide,Technology,EDP Services,,,,,,,
ACKIT,Ackrell SPAC Partners I Co Subunits, Acquisition, Acquisition,,,,,,,
ACKIU,Ackrell SPAC Partners I Co Units, Acquisition, Acquisition,,,,,,,
ACLS,Axcelis Technologies,Technology,Industrial Machinery/Components,,,,,,,
ACM,AECOM,Consumer Services,Military/Government/Technical,,,,,,,
ACMR,ACM Research Class A,Technology,Industrial Machinery/Components,,,,,,,
ACN,Accenture plc Class A Ordinary Shares (Ireland),Miscellaneous,Business Services,,,,,,,
ACNB,ACNB Corporation,Finance,Major Banks,,,,,,,
ACOR,Acorda Therapeutics,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,,,
ACP,Aberdeenome Credit Strategies Fund Common Shares,Finance,Investment Managers,,,,,,,
ACQR,Independence Holdings Corp Class A Ordinary Share,Finance,Business Services,,,,,,,
ACQRU,Independence Holdings Corp Units,Finance,Business Services,,,,,,,
ACR,ACRES Commercial Realty Corp,Consumer Services,Real Estate Investment Trusts,,,,,,,
ACRE,Ares Commercial Real Estate Corporation,Consumer Services,Real Estate Investment Trusts,,,,,,,
ACRO,Acropolis Infrastructure Acquisition Corp Class A, Acquisition, Acquisition,,,,,,,
ACRS,Aclaris Therapeutics,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
ACRX,AcelRx Pharmaceuticals,Consumer Durables,Specialty Chemicals,,,,,,,
ACST,Acasti Pharma Class A, Acquisition, Acquisition,,,,,,,
ACT,Enact Holdings,Finance,Specialty Insurers,,,,,,,
ACTD,ArcLight Clean Transition Corp II Class A Ordinary Share, Acquisition, Acquisition,,,,,,,
ACTDU,ArcLight Clean Transition Corp II Unit, Acquisition, Acquisition,,,,,,,
ACTG,Acacia Research Corporation (Acacia Tech),Miscellaneous,Multi-Sector Companies,,,,,,,
ACU,Acme United Corporation,Consumer Durables,Home Furnishings,,,,,,,
ACV,Virtus AllianzGI Diversifiedome & Convertible Fund Common Shares of Beneficial Interest,Finance,Finance/Investors Services,,,,,,,
ACVA,ACV Auctions Class A,Technology,EDP Services,,,,,,,
ACXP,Acurx Pharmaceuticals,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
ACY,AeroCentury Corp,Technology,Diversified Commercial Services,,,,,,,
ADAG,Adagene American Depositary Shares,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
ADAL,Anthemis Digital Acquisitions I Corp Class A Ordinary Shares, Acquisition, Acquisition,,,,,,,
ADALU,Anthemis Digital Acquisitions I Corp Unit, Acquisition, Acquisition,,,,,,,
ADALW,Anthemis Digital Acquisitions I Corp Warrant, Acquisition, Acquisition,,,,,,,
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,,,
ADBE,Adobe,Technology,Computer Software: Prepackaged Software,,,,,,,
ADC,Agree Realty Corporation,Consumer Services,Real Estate Investment Trusts,,,,,,,
ADCT,ADC Therapeutics SA Common Shares,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
ADER,26 Capital Acquisition Corp Class A, Acquisition, Acquisition,,,,,,,
ADERU,26 Capital Acquisition Corp Unit, Acquisition, Acquisition,,,,,,,
ADES,Advanced Emissions Solutions,Basic Industries,Industrial Specialties,,,,,,,
ADEX,Adit EdTech Acquisition Corp, Acquisition, Acquisition,,,,,,,
ADGI,Adagio Therapeutics,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
ADI,Analog Devices,Technology,Semiconductors,,,,,,,
ADIL,Adial Pharmaceuticals,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
ADM,Archer-Daniels-Midland Company, Acquisition, Acquisition,,,,,,,
ADMA,ADMA Biologics,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
ADMP,Adamis Pharmaceuticals Corporation,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
ADN,Advent Technologies Holdings Class A, Acquisition, Acquisition,,,,,,,
ADNT,Adient plc Ordinary Shares ,Capital Goods,Auto Parts:OEM,,,,,,,
ADOC,Edoc Acquisition Corp Class A Ordinary Share,Finance,Business Services,,,,,,,
ADP,Automatic Data Processing,Miscellaneous,Business Services,,,,,,,
ADPT,Adaptive Biotechnologies Corporation,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,,,
ADRA,Adara Acquisition Corp Class A, Acquisition, Acquisition,,,,,,,
ADS,Alliance Data Systems Corporation,Finance,Diversified Financial Services,,,,,,,
ADSE,ADS-TEC ENERGY PLC Ordinary Shares, Acquisition, Acquisition,,,,,,,
ADSK,Autodesk,Technology,Computer Software: Prepackaged Software,,,,,,,
ADT,ADT,Consumer Services,Diversified Commercial Services,,,,,,,
ADTH,AdTheorent Holding Company,Technology,Advertising,,,,,,,
ADTN,ADTRAN,Capital Goods,Telecommunications Equipment,,,,,,,
ADTX,Aditxt,Consumer Durables,Specialty Chemicals,,,,,,,
ADUS,Addus HomeCare Corporation,Health Care,Medical/Nursing Services,,,,,,,
ADV,Advantage Solutions Class A,Technology,Advertising,,,,,,,
ADVM,Adverum Biotechnologies,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
ADX,Adams Diversified Equity Fund,Finance,Investment Managers,,,,,,,
ADXN,Addex Therapeutics Ltd American Depositary Shares,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
AE,Adams Resources & Energy,Energy,Oilfield Services/Equipment,,,,,,,
AEAC,Authentic Equity Acquisition Corp Class A ordinary share,Finance,Business Services,,,,,,,
AEACU,Authentic Equity Acquisition Corp Unit,Finance,Business Services,,,,,,,
AEAE,AltEnergy Acquisition Corp Class A, Acquisition, Acquisition,,,,,,,
AEAEU,AltEnergy Acquisition Corp Unit, Acquisition, Acquisition,,,,,,,
AEE,Ameren Corporation,Public Utilities,Power Generation,,,,,,,
AEF,Aberdeen Emerging Markets Equityome Fund,Finance,Finance/Investors Services,,,,,,,
AEFC,Aegon Funding Company LLC 510% Subordinated Notes due 2049, Acquisition, Acquisition,,,,,,,
AEG,AEGON NV,Finance,Life Insurance,,,,,,,
AEHA,Aesther Healthcare Acquisition Corp Class A, Acquisition, Acquisition,,,,,,,
AEHL,Antelope Enterprise Holdings Limited (0024 par),Capital Goods,Building Products,,,,,,,
AEHR,Aehr Test Systems,Capital Goods,Electrical Products,,,,,,,
AEI,Alset EHome International,Consumer Services,Building operators,,,,,,,
AEIS,Advanced Energy Industries,Consumer Durables,Electrical Products,,,,,,,
AEL,American Equity Investment Life Holding Company,Finance,Life Insurance,,,,,,,
AEM,Agnico Eagle Mines Limited, Acquisition, Acquisition,,,,,,,
AEMD,Aethlon Medical,Miscellaneous,Diversified Commercial Services,,,,,,,
AENZ,Aenza SAA American Depositary Shares,Basic Industries,Military/Government/Technical,,,,,,,
AEO,American Eagle Outfitters,Consumer Services,Clothing/Shoe/Accessory Stores,,,,,,,
AEP,American Electric Power Company,Public Utilities,Electric Utilities: Central,,,,,,,
AEPPZ,American Electric Power Company Corporate Units,Public Utilities,Electric Utilities: Central,,,,,,,
AER,AerCap Holdings NV Ordinary Shares,Technology,Diversified Commercial Services,,,,,,,
AERC,AeroClean Technologies,Public Utilities,Environmental Services,,,,,,,
AERI,Aerie Pharmaceuticals,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,,,
AES,The AES Corporation,Public Utilities,Electric Utilities: Central,,,,,,,
AESC,The AES Corporation Corporate Units,Public Utilities,Electric Utilities: Central,,,,,,,
AESE,Allied Esports Entertainment,Consumer Services,Television Services,,,,,,,
AEVA,Aeva Technologies,Capital Goods,Auto Parts:OEM,,,,,,,
AEY,ADDvantage Technologies Group,Capital Goods,Recreational Products/Toys,,,,,,,
AEYE,AudioEye,Technology,EDP Services,,,,,,,
AEZS,Aeterna Zentaris, Acquisition, Acquisition,,,,,,,
AFAC,Arena Fortify Acquisition Corp Class A,Consumer Services,Other Pharmaceuticals,,,,,,,
AFACU,Arena Fortify Acquisition Corp Unit,Consumer Services,Other Pharmaceuticals,,,,,,,
AFAQ,AF Acquisition Corp Class A, Acquisition, Acquisition,,,,,,,
AFAQU,AF Acquisition Corp Units, Acquisition, Acquisition,,,,,,,
AFB,AllianceBernstein National Municipalome Fund,Finance,Trusts Except Educational Religious and Charitable,,,,,,,
AFBI,Affinity Bancshares (MD),Finance,Major Banks,,,,,,,
AFCG,AFC Gamma,Consumer Services,Real Estate Investment Trusts,,,,,,,
AFG,American Financial Group,Finance,Property-Casualty Insurers,,,,,,,
AFGB,American Financial Group 5875% Subordinated Debentures due 2059,Finance,Property-Casualty Insurers,,,,,,,
AFGC,American Financial Group 5125% Subordinated Debentures due 2059,Finance,Real Estate,,,,,,,
AFGD,American Financial Group 5625% Subordinated Debentures due 2060, Acquisition, Acquisition,,,,,,,
AFGE,American Financial Group 4500% Subordinated Debentures due 2060, Acquisition, Acquisition,,,,,,,
AFI,Armstrong Flooring,Capital Goods,Building Products,,,,,,,
AFIB,Acutus Medical,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,,,,,,,
AFL,AFLACorporated,Finance,Accident &Health Insurance,,,,,,,
AFMD,Affimed NV,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
AFRM,Affirm Holdings Class A,Technology,EDP Services,,,,,,,
AFT,Apollo Senior Floating Rate Fund,Finance,Investment Managers,,,,,,,
AFTR,AfterNext HealthTech Acquisition Corp Class A Ordinary Shares, Acquisition, Acquisition,,,,,,,
AFYA,Afya Limited Class A Common Shares,Consumer Services,Other Consumer Services,,,,,,,
AG,First Majestic Silver Corp Ordinary Shares (Canada), Acquisition, Acquisition,,,,,,,
AGAC,African Gold Acquisition Corporation Class A Ordinary Shares,Finance,Business Services,,,,,,,
AGBA,AGBA Acquisition Limited Ordinary Share,Finance,Business Services,,,,,,,
AGCB,Altimeter Growth Corp 2 Class A Ordinary Shares,Finance,Business Services,,,,,,,
AGCO,AGCO Corporation,Capital Goods,Industrial Machinery/Components,,,,,,,
AGD,Aberdeen Global Dynamic Dividend Fund,Finance,Trusts Except Educational Religious and Charitable,,,,,,,
AGE,AgeX Therapeutics,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
AGEN,Agenus,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,,,
AGFS,AgroFresh Solutions, Acquisition, Acquisition,,,,,,,
AGFY,Agrify Corporation,Consumer Services,Military/Government/Technical,,,,,,,
AGGR,Agile Growth Corp Class A Ordinary Share,Finance,Business Services,,,,,,,
AGI,Alamos Gold Class A Common Shares, Acquisition, Acquisition,,,,,,,
AGIL,AgileThought Class A,Technology,EDP Services,,,,,,,
AGIO,Agios Pharmaceuticals,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
AGL,agilon health,Health Care,Managed Health Care,,,,,,,
AGLE,Aeglea BioTherapeutics,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
AGM,Federal Agricultural Mortgage Corporation,Finance,Finance Companies,,,,,,,
AGMH,AGM Group Holdings Class A Ordinary Shares,Technology,EDP Services,,,,,,,
AGNC,AGNC Investment Corp,Consumer Services,Real Estate Investment Trusts,,,,,,,
AGNCM,AGNC Investment Corp Depositary Shares rep 6875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,Consumer Services,Real Estate Investment Trusts,,,,,,,
AGNCN,AGNC Investment Corp Depositary Shares Each Representing a 1/1000th Interest in a Share of 700% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,Consumer Services,Real Estate Investment Trusts,,,,,,,
AGNCO,AGNC Investment Corp Depositary Shares each representing a 1/1000th interest in a share of 650% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,Consumer Services,Real Estate Investment Trusts,,,,,,,
AGNCP,AGNC Investment Corp Depositary Shares Each Representing a 1/1000th Interest in a Share of 6125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,Consumer Services,Real Estate Investment Trusts,,,,,,,
AGO,Assured Guaranty Ltd,Finance,Property-Casualty Insurers,,,,,,,
AGR,Avangrid,Public Utilities,Electric Utilities: Central,,,,,,,
AGRI,AgriFORCE  Growing Systems Ltd Common Shares, Acquisition, Acquisition,,,,,,,
AGRO,Adecoagro SA Common Shares,Farming/Seeds/Milling,Farming/Seeds/Milling,,,,,,,
AGRX,Agile Therapeutics,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
AGS,PlayAGS,Consumer Services,Recreational Products/Toys,,,,,,,
AGTC,Applied Genetic Technologies Corporation,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,,,
AGTI,Agiliti,Health Care,Managed Health Care,,,,,,,
AGX,Argan,Capital Goods,Oilfield Services/Equipment,,,,,,,
AGYS,Agilysys,Technology,Computer Software: Prepackaged Software,,,,,,,
AHCO,AdaptHealth Corp,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,,,,,,,
AHG,Akso Health Group ADS,Finance,Finance: Consumer Services,,,,,,,
AHH,Armada Hoffler Properties,Consumer Services,Real Estate Investment Trusts,,,,,,,
AHI,Advanced Human Imaging Limited American Depositary Shares, Acquisition, Acquisition,,,,,,,
AHPAU,Avista Public Acquisition Corp II Unit, Acquisition, Acquisition,,,,,,,
AHPI,Allied Healthcare Products,Health Care,Industrial Specialties,,,,,,,
AHRNU,Ahren Acquisition Corp Unit, Acquisition, Acquisition,,,,,,,
AHT,Ashford Hospitality Trust,Consumer Services,Real Estate Investment Trusts,,,,,,,
AI,C3ai Class A,Technology,Computer Software: Prepackaged Software,,,,,,,
AIC,Arlington Asset Investment Corp 6750% Notes due 2025,Consumer Services,Real Estate Investment Trusts,,,,,,,
AIF,Apollo Tacticalome Fund,Finance,Finance Companies,,,,,,,
AIG,American International Group New,Finance,Life Insurance,,,,,,,
AIH,Aesthetic Medical International Holdings Group Ltd American Depositary Shares,Health Care,Medical Specialities,,,,,,,
AIHS,Senmiao Technology Limited,Finance,Finance: Consumer Services,,,,,,,
AIKI,AIkido Pharma,Consumer Durables,Specialty Chemicals,,,,,,,
AIM,AIM ImmunoTech,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,,,
AIMC,Altra Industrial Motion Corp,Capital Goods,Industrial Machinery/Components,,,,,,,
AIN,Albany International Corporation,Basic Industries,Textiles,,,,,,,
AINC,Ashford (Holding Company),Finance,Investment Managers,,,,,,,
AINV,Apollo Investment Corporation,Finance,Finance/Investors Services,,,,,,,
AIO,Virtus AllianzGI Artificial Intelligence & Technology Opportunities Fund Common Shares,Finance,Finance/Investors Services,,,,,,,
AIP,Arteris,Technology,Semiconductors,,,,,,,
AIR,AAR Corp,Capital Goods,Aerospace,,,,,,,
AIRC,Apartmentome REIT Corp,Consumer Services,Real Estate Investment Trusts,,,,,,,
AIRG,Airgain,Technology,Radio And Television Broadcasting And Communications Equipment,,,,,,,
AIRI,Air Industries Group,Capital Goods,Military/Government/Technical,,,,,,,
AIRS,AirSculpt Technologies,Health Care,Hospital/Nursing Management,,,,,,,
AIRT,Air T,Transportation,Air Freight/Delivery Services,,,,,,,
AIRTP,Air T Air T Funding Alphaome Trust Preferred Securities,Transportation,Air Freight/Delivery Services,,,,,,,
AIT,Applied Industrial Technologies,Capital Goods,Industrial Machinery/Components,,,,,,,
AIV,Apartment Investment and Management Company,Consumer Services,Real Estate Investment Trusts,,,,,,,
AIZ,Assurant,Finance,Specialty Insurers,,,,,,,
AIZN,Assurant 525% Subordinated Notes due 2061,Finance,Accident &Health Insurance,,,,,,,
AJG,Arthur J Gallagher & Co,Finance,Specialty Insurers,,,,,,,
AJRD,Aerojet Rocketdyne Holdings,Capital Goods,Military/Government/Technical,,,,,,,
AJX,Great Ajax Corp,Consumer Services,Real Estate Investment Trusts,,,,,,,
AJXA,Great Ajax Corp 725% Convertible Senior Notes due 2024,Consumer Services,Real Estate Investment Trusts,,,,,,,
AKA,aka Brands Holding Corp,Consumer Non-Durables,Department/Specialty Retail Stores,,,,,,,
AKAM,Akamai Technologies,Miscellaneous,Business Services,,,,,,,
AKBA,Akebia Therapeutics,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
AKIC,Sports Ventures Acquisition Corp Class A Ordinary Shares,Finance,Business Services,,,,,,,
AKICU,Sports Ventures Acquisition Corp Unit,Finance,Business Services,,,,,,,
AKR,Acadia Realty Trust,Consumer Services,Real Estate Investment Trusts,,,,,,,
AKRO,Akero Therapeutics,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
AKTS,Akoustis Technologies,Public Utilities,Telecommunications Equipment,,,,,,,
AKTX,Akari Therapeutics plc ADS,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
AKU,Akumin Common Shares, Acquisition, Acquisition,,,,,,,
AKUS,Akouos,Consumer Durables,Specialty Chemicals,,,,,,,
AKYA,Akoya BioSciences,Capital Goods,Medical Specialities,,,,,,,
AL,Air Lease Corporation Class A,Technology,Diversified Commercial Services,,,,,,,
ALAC,Alberton Acquisition Corporation Ordinary Shares,Basic Industries,Engineering & Construction,,,,,,,
ALB,Albemarle Corporation,Basic Industries,Industrial Specialties,,,,,,,
ALBO,Albireo Pharma,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
ALC,Alcon,Health Care,Ophthalmic Goods,,,,,,,
ALCC,AltC Acquisition Corp Class A, Acquisition, Acquisition,,,,,,,
ALCO,Alico, Acquisition, Acquisition,,,,,,,
ALDX,Aldeyra Therapeutics,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
ALE,Allete,Public Utilities,Power Generation,,,,,,,
ALEC,Alector,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
ALEX,Alexander & Baldwin REIT Holding Company,Consumer Services,Real Estate Investment Trusts,,,,,,,
ALF,ALFI,Technology,EDP Services,,,,,,,
ALG,Alamo Group,Capital Goods,Industrial Machinery/Components,,,,,,,
ALGM,Allegro MicroSystems,Technology,Semiconductors,,,,,,,
ALGN,Align Technology,Health Care,Industrial Specialties,,,,,,,
ALGS,Aligos Therapeutics,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
ALGT,Allegiant Travel Company,Transportation,Air Freight/Delivery Services,,,,,,,
ALHC,Alignment Healthcare,Health Care,Medical Specialities,,,,,,,
ALIM,Alimera Sciences,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
ALIT,Alight Class A,Technology,EDP Services,,,,,,,
ALJJ,ALJ Regional Holdings,Miscellaneous,Business Services,,,,,,,
ALK,Alaska Air Group,Transportation,Air Freight/Delivery Services,,,,,,,
ALKS,Alkermes plc Ordinary Shares,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
ALKT,Alkami Technology,Technology,EDP Services,,,,,,,
ALL,Allstate Corporation (The),Finance,Property-Casualty Insurers,,,,,,,
ALLE,Allegion plc Ordinary Shares,Consumer Services,Diversified Commercial Services,,,,,,,
ALLK,Allakos,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
ALLO,Allogene Therapeutics,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,,,
ALLR,Allarity Therapeutics,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
ALLT,Allot Ltd Ordinary Shares,Public Utilities,Telecommunications Equipment,,,,,,,
ALLY,Ally Financial,Finance,Diversified Financial Services,,,,,,,
ALNA,Allena Pharmaceuticals,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
ALNY,Alnylam Pharmaceuticals,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
ALOR,ALSP Orchid Acquisition Corporation I Class A Ordinary Share, Acquisition, Acquisition,,,,,,,
ALORU,ALSP Orchid Acquisition Corporation I Unit, Acquisition, Acquisition,,,,,,,
ALOT,AstroNova,Technology,Computer peripheral equipment,,,,,,,
ALPA,Alpha Healthcare Acquisition Corp III Class A, Acquisition, Acquisition,,,,,,,
ALPN,Alpine Immune Sciences,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
ALPP,Alpine 4 Holdings Class A,Capital Goods,Metal Fabrications,,,,,,,
ALRM,Alarmcom Holdings,Technology,Computer Software: Prepackaged Software,,,,,,,
ALRN,Aileron Therapeutics,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
ALRS,Alerus Financial Corporation,Finance,Commercial Banks,,,,,,,
ALSAU,Alpha Star Acquisition Corporation Units, Acquisition, Acquisition,,,,,,,
ALSN,Allison Transmission Holdings,Capital Goods,Auto Parts:OEM,,,,,,,
ALT,Altimmune,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
ALTG,Alta Equipment Group Class A,Technology,Engineering & Construction,,,,,,,
ALTO,Alto Ingredients,Basic Industries,Industrial Specialties,,,,,,,
ALTR,Altair Engineering Class A,Technology,Computer Software: Prepackaged Software,,,,,,,
ALTU,Altitude Acquisition Corp Class A, Acquisition, Acquisition,,,,,,,
ALTUU,Altitude Acquisition Corp Unit, Acquisition, Acquisition,,,,,,,
ALTUW,Altitude Acquisition Corp Warrant, Acquisition, Acquisition,,,,,,,
ALV,Autoliv,Capital Goods,Auto Parts:OEM,,,,,,,
ALVR,AlloVir,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
ALX,Alexander's,Consumer Services,Real Estate Investment Trusts,,,,,,,
ALXO,ALX Oncology Holdings,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
ALYA,Alithya Group Class A Subordinate Voting Shares, Acquisition, Acquisition,,,,,,,
